Estrella,EW,FWHM
HD886,5.3293,4.32,
HD1279,7.0908,5.68,
HD2011,8.2823,10.32,
HD2083,4.1354,4.624,
HD2905,1.463,3.12,
HD3240,9.7759,9.296,
HD3360,5.5868,4.72,
HD3901,5.4735,8.624,
HD4142,6.4876,9.824,
HD5551,1.5761,3.2,
HD6675,2.9204,3.696,
HD7902,1.6343,2.48,
HD9311,2.5101,3.024,
HD10205,6.3488,7.6,
HD12301,3.1776,3.088,
HD13256,0.3882,1.488,
HD13841,2.0993,3.216,
HD13854,1.7696,3.824,
HD13969,3.212,4.048,
HD14053,3.0851,3.2,
HD14134,1.5657,3.072,
HD14143,0.9837,3.088,
HD14542,2.078,2.512,
HD14956,1.0447,2.816,
HD15497,1.4599,2.192,
HD15690,1.9928,2.848,
HD16046,13.1119,11.056
HD16808,1.5955,3.936
HD17145,2.0172,2.56
HD20365,5.8228,8.464
HD20809,6.2613,9.872
HD21071,7.2648,9.696
HD21279,10.1593,13.472
HD21291,1.8572,2.352
HD21483,4.7358,7.056
HD21661,8.2977,6.0
HD21672,8.5314,12.592
HD21931,12.4251,12.608
HD23288,7.888,11.184
HD23324,8.0727,11.504
HD23338,6.6871,8.672
HD23432,11.9354,12.42
HD23568,12.5094,15.72
HD23850,7.4524,10.02
HD23873,15.0592,13.54
HD23923,10.1379,15.06
HD24398,2.6081,3.46
HD26739,8.2984,7.16
HD30836,4.2446,4.04
HD31327,2.8121,3.14
HD17081,9.4471,7.1
HD23408,7.5408,5.96
HD32630,7.3763,8.66
HD34085,1.7214,2.84
HD34503,7.3224,7.16
HD34759,8.7107,9.12
HD35468,4.7357,4.74
HD35497,7.6913,7.2
HD35600,4.8261,3.96
HD36212,3.0574,3.08
HD36285,5.9074,5.26
HD36371,1.5975,2.7
HD36629,6.6446,5.56
HD36822,3.801,3.88
HD36936,7.5852,11.88
HD36960,4.0955,4.22
HD37042,4.6601,6.06
HD37128,1.5321,4.66
HD37744,5.1144,5.44
HD38899,13.0134,10.18
HD41117,0.4727,2.0
HD41692,6.1395,5.18
HD42087,2.0211,3.68
HD44743,3.8431,3.58
HD46075,9.0658,8.46
HD46300,5.4869,4.0
HD46328,3.6798,3.58
HD48434,2.2086,3.94
HD49340,6.1512,8.94
HD49567,4.5488,5.36
HD49606,7.7572,5.88
HD51309,3.1346,3.3
HD51688,8.1075,7.08
HD52089,3.6172,3.36
HD57608,7.9675,5.26
HD58350,1.842,2.82
HD87737,5.1584,3.72
HD87901,8.133,12.84
HD90994,9.2207,9.7
HD91316,2.0792,3.38
HD93249,2.8591,4.52
HD103287,14.4698,14.38
HD120315,6.7998,10.48
HD123299,12.0759,9.64
HD144206,9.3676,6.5
HD144218,6.2096,7.04
HD144470,4.4122,6.46
HD147394,7.492,6.74
HD148605,5.8143,10.1
HD149438,4.0151,4.44
HD155763,7.5275,6.82
HD160762,6.0192,4.42
HD161572,7.2762,10.78
HD164353,3.2247,3.26
HD164402,2.2688,4.26
HD170682,5.1943,7.34
HD170719,7.3076,6.18
HD171012,0.9484,4.94
HD171301,10.3381,8.74
HD172167,15.4202,11.26
HD175191,5.8762,10.04
HD176437,8.0921,8.36
HD178849,6.803,6.7
HD179761,7.951,5.74
HD180554,6.9163,8.04
HD181440,10.8799,9.68
HD182255,9.1652,7.5
HD183143,0.3216,1.14
HD184943,1.8109,2.5
HD186882,11.7669,11.92
HD190066,1.5179,3.84
HD190919,2.2061,3.64
HD191243,3.528,3.4
HD192422,1.4056,4.4
HD193007,2.6103,4.18
HD193076,2.1448,3.46
HD193183,1.7512,3.38
HD194779,2.9602,4.9
HD194839,0.9511,3.42
HD196867,11.2818,11.38
HD197345,2.6923,2.26
HD198478,1.3066,3.66
HD199478,0.8517,2.7
HD201795,3.9591,3.9
HD202850,2.8355,2.62
HD204172,1.9751,3.9
HD205196,1.8487,3.98
HD206165,2.0488,3.16
HD207330,4.5203,4.92
HD208501,1.925,3.0
HD208947,5.3629,8.4
HD211924,6.5942,6.2
HD212097,8.9626,8.38
HD212593,3.7655,3.06
HD213087,1.7632,3.34
HD214923,9.1265,11.38
HD214993,3.763,3.9
HD215191,4.4538,8.64
HD216411,0.3793,1.76
HD218376,3.144,3.6
HD222661,13.9146,14.32
HD223960,1.2344,1.86
HD224112,10.4661,9.2
